                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5062,                 1.6769,                 1.1933,                0.92698,                0.53232,                 0.5894,                0.34944,                 1.3894,                  1.081,                 1.1807,             0.00047489,             0.00047489,             0.00047489
                      2,                 1.4274,                 1.1129,                 1.1643,                0.91919,                0.53629,                0.58763,                0.34877,                 1.4192,                0.96211,                 1.1775,             0.00093239,             0.00093239,             0.00093239
                      3,                 1.4082,                 1.0099,                 1.1603,                0.92857,                0.56066,                 0.6098,                 0.3606,                 1.4027,                0.84749,                 1.1799,               0.001371,               0.001371,               0.001371
                      4,                 1.3924,                0.95539,                  1.159,                0.92817,                0.54505,                0.59773,                0.35617,                 1.4175,                 0.8668,                 1.2038,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3698,                 0.9098,                 1.1522,                0.94063,                0.55269,                0.61084,                0.37683,                 1.3257,                0.79857,                  1.158,              0.0013441,              0.0013441,              0.0013441
                      6,                  1.361,                0.88492,                 1.1436,                 0.9425,                0.56732,                0.61549,                0.38403,                 1.3145,                 0.7562,                 1.1507,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.3438,                0.85358,                 1.1387,                 0.9422,                0.57999,                0.62315,                 0.3941,                 1.3063,                 0.7263,                 1.1364,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.3337,                0.83816,                 1.1323,                0.94377,                0.57161,                0.62051,                0.39501,                 1.3018,                0.72621,                 1.1455,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.3242,                0.82396,                 1.1263,                0.94984,                0.57298,                 0.6251,                0.39567,                 1.3018,                0.71104,                 1.1448,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.3147,                0.81333,                 1.1255,                0.94127,                0.57886,                0.62549,                   0.39,                 1.2983,                0.71626,                 1.1452,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.3119,                0.80355,                 1.1217,                0.94973,                0.58447,                0.63084,                0.40176,                 1.2907,                0.68917,                 1.1355,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.3027,                0.79356,                 1.1143,                0.94401,                0.58301,                0.62732,                0.39827,                 1.2907,                0.69306,                 1.1323,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.2961,                 0.7741,                 1.1109,                0.95415,                0.58165,                0.63014,                0.40201,                 1.2722,                0.67692,                 1.1291,              0.0011178,              0.0011178,              0.0011178
                     14,                  1.282,                0.77612,                 1.1131,                0.94691,                0.58389,                0.63044,                0.40985,                 1.2697,                0.66487,                 1.1253,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.2907,                0.76305,                 1.1097,                 0.9449,                0.58282,                0.63062,                0.40441,                 1.2847,                0.67395,                 1.1322,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.2672,                0.74667,                 1.0989,                0.94677,                0.58901,                0.63412,                 0.4093,                 1.2583,                0.65563,                 1.1282,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.2681,                0.75183,                 1.0996,                0.94943,                0.59059,                0.63565,                0.41193,                 1.2533,                0.63593,                 1.1185,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.2587,                0.73062,                 1.0971,                0.95525,                0.58425,                0.63519,                0.41047,                 1.2642,                0.64624,                  1.119,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.2566,                0.73099,                 1.1017,                0.95279,                 0.5932,                0.63703,                0.40817,                 1.2729,                 0.6357,                 1.1225,               0.000948,               0.000948,               0.000948
                     20,                 1.2561,                0.72919,                 1.0973,                0.94937,                0.59438,                0.63907,                0.41334,                 1.2588,                0.63056,                 1.1197,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.2494,                0.71298,                 1.0937,                0.95221,                0.59536,                0.64055,                 0.4226,                 1.2323,                0.60902,                 1.1112,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.2465,                0.71713,                 1.0911,                0.95635,                0.59102,                0.63722,                0.41391,                 1.2583,                0.62452,                 1.1209,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.2315,                0.70031,                 1.0832,                0.95414,                0.59645,                0.64406,                 0.4179,                 1.2458,                0.60739,                 1.1095,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.2412,                0.70108,                 1.0866,                0.95659,                0.59876,                0.64132,                 0.4203,                 1.2264,                0.60595,                 1.1079,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.2312,                0.70205,                 1.0835,                 0.9548,                0.59605,                0.63976,                0.41909,                 1.2329,                0.60984,                 1.1095,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.2227,                0.69393,                 1.0836,                0.95289,                0.60074,                0.64281,                0.42054,                 1.2379,                0.60466,                 1.1085,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.2308,                0.68921,                 1.0794,                0.94961,                0.60419,                0.64443,                0.42497,                 1.2266,                0.59553,                 1.1056,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.2235,                0.68108,                 1.0782,                0.95615,                0.59797,                0.64646,                0.42648,                 1.2241,                0.58608,                 1.1056,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.2074,                0.66719,                 1.0776,                0.95435,                0.60275,                0.64179,                0.42169,                 1.2322,                0.59782,                 1.1056,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.2123,                0.66993,                 1.0767,                0.95834,                0.60385,                 0.6444,                0.42548,                 1.2344,                0.58099,                 1.1068,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.2073,                 0.6704,                  1.072,                0.95776,                0.60087,                0.64571,                0.42687,                 1.2167,                0.58822,                 1.0978,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.1999,                0.66136,                 1.0716,                0.95651,                0.60208,                0.64358,                0.42204,                  1.243,                0.58026,                 1.1088,             0.00058017,             0.00058017,             0.00058017
                     33,                  1.198,                0.65762,                 1.0664,                 0.9591,                0.60102,                 0.6435,                0.42409,                 1.2295,                0.57728,                  1.102,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.1965,                0.64936,                  1.066,                0.95578,                0.60517,                0.64437,                0.42778,                 1.2154,                0.57133,                 1.0964,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.1846,                0.65819,                 1.0694,                 0.9539,                0.60673,                0.64506,                0.42864,                 1.2184,                0.56771,                 1.0974,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.1881,                0.64446,                  1.063,                 0.9562,                0.60301,                0.64592,                 0.4285,                 1.2126,                0.56629,                 1.0967,               0.000467,               0.000467,               0.000467
                     37,                 1.1782,                0.63717,                 1.0578,                0.95715,                0.60329,                0.64658,                0.42953,                 1.2149,                0.56249,                 1.0963,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.1733,                0.63027,                 1.0556,                0.95759,                0.60496,                0.64692,                0.42917,                  1.208,                0.56175,                 1.0942,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.1696,                0.62533,                 1.0555,                0.95844,                0.60239,                0.64561,                0.42984,                 1.2081,                0.55972,                 1.0951,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.1617,                0.62505,                 1.0539,                0.95845,                0.60386,                0.64716,                0.43082,                 1.2053,                0.55712,                 1.0919,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.1618,                0.55748,                 1.0642,                0.95828,                0.60234,                0.64483,                0.43179,                  1.204,                0.55599,                 1.0904,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.1623,                0.54646,                 1.0634,                 0.9597,                0.60457,                0.64647,                0.42873,                  1.216,                0.55879,                 1.0958,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.1462,                0.53906,                 1.0574,                0.62519,                0.60407,                0.64587,                0.43106,                 1.2069,                0.54989,                 1.0908,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.1448,                0.53626,                  1.052,                0.62119,                 0.6054,                0.64677,                0.43465,                 1.2043,                0.55084,                 1.0917,             0.00024064,             0.00024064,             0.00024064
                     45,                  1.134,                 0.5332,                 1.0496,                0.62235,                0.60913,                0.64772,                0.43374,                 1.2067,                0.54977,                 1.0916,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.1297,                 0.5265,                 1.0477,                0.95602,                0.60682,                0.64719,                0.43173,                 1.2122,                0.54737,                  1.093,             0.00018406,             0.00018406,             0.00018406
